Trial	beep1	beep2
1	40.14873504638672	40.14873504638672
2	40.37046432495117	40.37046432495117
3	40.30108451843262	40.30108451843262
4	40.15016555786133	40.15016555786133
5	40.29035568237305	40.29035568237305
6	40.292978286743164	40.292978286743164
7	40.160417556762695	40.160417556762695
8	40.22622108459473	40.22622108459473
9	40.280818939208984	40.280818939208984
10	40.26222229003906	40.26222229003906
11	40.37022590637207	40.37022590637207
12	40.29703140258789	40.29703140258789
13	40.410518646240234	40.410518646240234
14	40.30466079711914	40.30466079711914
15	40.27962684631348	40.27962684631348
16	40.283203125	40.283203125
17	40.2984619140625	40.2984619140625
18	40.28153419494629	40.28153419494629
19	40.345191955566406	40.345191955566406
20	40.28463363647461	40.28463363647461
21	40.30609130859375	40.30609130859375
22	40.344953536987305	40.344953536987305
